url,recommended_action
https://compassgrill.co.il/zigzag-sweet-potato-fries/,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-2/meat-vending-machine-24-7/?sort=rating&order=DESC,Manual review - target not HTTP-validated
https://compassgrill.co.il/ -40- /,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-2/frozen-ground-meat/cinnamon-kebab-on-stick-55g-12-pcs-tray/?sort=rating&order=DESC,Manual review - target not HTTP-validated
https://compassgrill.co.il/ -berox/,Manual review - target not HTTP-validated
https://compassgrill.co.il/בשרים-קפואים/zigzag-sweet-potato-fries-1/?sort=pd.name&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-2/frozen-ground-meat/cinnamon-kebab-on-stick-55g-12-pcs-tray/?sort=p.model&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-eilat/יינות-טפרברג/,Manual review - target not HTTP-validated
https://compassgrill.co.il/outdoor-kitchen/מטבחי-גן-וציוד-נלווה/,Manual review - target not HTTP-validated
https://compassgrill.co.il/gas-grills/גריל-גז-2-מבערים/,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-2/cinnamon-kebab-on-stick-55g-12-pcs-tray/?category_id=66834&sort=pd.name&order=DESC,Manual review - target not HTTP-validated
https://compassgrill.co.il/affordable-outdoor-furniture-deals-eilat/,Manual review - target not HTTP-validated
https://compassgrill.co.il/gas-grills/גריל-גז-משולב-פחם-או-מעשנה/,Manual review - target not HTTP-validated
https://compassgrill.co.il/smoker-tandoor/טנדיר-טנדור-כלי-בישול-וצליה-בחרס/,Manual review - target not HTTP-validated
https://compassgrill.co.il/gas-grills/,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-2/cinnamon-kebab-on-stick-55g-12-pcs-tray/?category_id=66834&sort=price&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/grill-smoker-accessories/skome-woods-chips/,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-2/frozen-ground-meat/cinnamon-kebab-on-stick-55g-12-pcs-tray/?sort=p.sort_order&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-eilat/בשרים-קפואים/חזה-אווז-ארוז-בוואקום-1/?sort=p.model&order=DESC,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-2/frozen-ground-meat/cinnamon-kebab-on-stick-55g-12-pcs-tray/?sort=p.model&order=DESC,Manual review - target not HTTP-validated
https://compassgrill.co.il/ -25-40- /,Manual review - target not HTTP-validated
https://compassgrill.co.il/ -20-30- /,Manual review - target not HTTP-validated
https://compassgrill.co.il/smoker-tandoor/גריל-גז-מעשנות-גרילים-וטנדור/ultimate-griddle-5-גריל-פלנצ-ה-גז-5-מבערים/,Manual review - target not HTTP-validated
https://compassgrill.co.il/gas-grills/גריל-גז-5-מבערים/ultimate-griddle-5-גריל-פלנצ-ה-גז-5-מבערים/?category_id=108565&sort=price&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-eilat/premium-packed-frozen-foie-gras-1/?sort=rating&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/compass-skewers/שיפודי-נירוסטה-יוקרתיים-עם-ידית-ברונזה-מארז-עור-פרימיום-1/?category_id=38152&sort=p.model&order=DESC,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-eilat/poultry/,Manual review - target not HTTP-validated
https://compassgrill.co.il/frozen-meat/ -copy-0/?sort=p.model&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/gifts/ -berox/?category_id=128869,Manual review - target not HTTP-validated
https://compassgrill.co.il/product_quick_view/,Manual review - target not HTTP-validated
https://compassgrill.co.il/eitan-meat-2/meat-vending-machine-24-7/angus-merguez-780g-frozen-automatic-meat-247/?sort=rating&order=DESC,Manual review - target not HTTP-validated
https://compassgrill.co.il/poultry/?sort=rating&order=DESC,Manual review - target not HTTP-validated
https://compassgrill.co.il/gas-grills/גריל-גז-5-מבערים/ultimate-griddle-5-גריל-פלנצ-ה-גז-5-מבערים/?sort=price&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/grill-smoker-accessories/butcher-board/ -25-40- /?category_id=128801&sort=p.sort_order&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/ultimate-griddle-5-גריל-פלנצ-ה-גז-5-מבערים/,Manual review - target not HTTP-validated
https://compassgrill.co.il/grill-smoker-accessories/butcher-board/ -20-30- /?category_id=128801&sort=p.sort_order&order=ASC,Manual review - target not HTTP-validated
https://compassgrill.co.il/grill-smoker-accessories/butcher-board/ -50-35- /?category_id=128801&sort=p.model&order=ASC,Manual review - target not HTTP-validated
