url,issue
https://compassgrill.co.il/sitemap-products.xml,Crawled - Currently Not Indexed
https://compassgrill.co.il/sitemap.xml,Crawled - Currently Not Indexed
https://compassgrill.co.il/sitemap-common.xml,Crawled - Currently Not Indexed
